# Conversazione con lo Spark ricavata da un btsnoop_hci.log.
# APP = mandato dal telefono, ampli = notifica in arrivo.
# messaggi: 163  (dall'app: 50)

  613,509s  ampli  0x0377   f0 01 7b 35 03 77 0d 4a 3d 19 4f 19 f7
  613,718s  ampli  0x0377   f0 01 7c 09 03 77 05 4a 3d 4d 14 22 f7
  613,928s  ampli  0x0377   f0 01 7d 3f 03 77 11 4a 3e 00 14 4e f7
  614,108s  ampli  0x0377   f0 01 7e 01 03 77 09 4a 3e 19 37 52 f7
  614,319s  ampli  0x0377   f0 01 7f 14 03 77 01 4a 3e 33 42 10 f7
  614,523s  ampli  0x0377   f0 01 40 51 03 77 19 4a 3e 4c 64 14 f7
  614,731s  ampli  0x0377   f0 01 41 04 03 77 09 4a 3e 66 07 18 f7
  614,918s  ampli  0x0377   f0 01 42 02 03 77 15 4a 3e 00 08 6b f7
  615,127s  ampli  0x0377   f0 01 43 02 03 77 0d 4a 3e 0c 5a 2d f7
  615,298s  APP    0x0175   f0 01 17 0c 01 75 00 0c f7
  615,303s  ampli  0x0377   f0 01 44 64 03 77 1d 4a 3e 19 1f 0b f7
  615,331s  ampli  0x0475   f0 01 17 00 04 75 f7
  615,514s  ampli  0x0377   f0 01 45 7a 03 77 15 4a 3e 26 70 4d f7
  615,729s  ampli  0x0377   f0 01 46 10 03 77 05 4a 3e 33 42 10 f7
  615,940s  ampli  0x0377   f0 01 47 58 03 77 05 4a 3e 40 07 6e f7
  616,143s  ampli  0x0377   f0 01 48 4d 03 77 1d 4a 3e 4c 58 30 f7
  616,322s  ampli  0x0377   f0 01 49 6b 03 77 1d 4a 3e 59 29 72 f7
  616,536s  ampli  0x0377   f0 01 4a 29 03 77 05 4a 3e 66 6f 51 f7
  616,756s  ampli  0x0377   f0 01 4b 41 03 77 15 4a 3e 73 40 13 f7
  616,929s  ampli  0x0377   f0 01 4c 1f 03 77 11 4a 3f 00 02 79 f7
  616,983s  APP    0x0175   f0 01 18 09 01 75 00 09 f7
  617,042s  ampli  0x0475   f0 01 18 00 04 75 f7
